Date_start,Date_reported,Biweek_label,Biweek_index,Country,Country_code,WHO_region,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths,Year,Week_num,flag_incomplete_biweek
2025-05-04,2025-05-11,2025-05-04 to 2025-05-11,140,Australia,AU,WPRO,0,0,11861161,25236,2025,19,0
2025-05-18,2025-05-25,2025-05-18 to 2025-05-25,141,Australia,AU,WPRO,0,0,11861161,25236,2025,21,0
2025-06-01,2025-06-08,2025-06-01 to 2025-06-08,142,Australia,AU,WPRO,0,0,11861161,25236,2025,23,0
2025-06-15,2025-06-22,2025-06-15 to 2025-06-22,143,Australia,AU,WPRO,0,0,11861161,25236,2025,25,0
2025-06-29,2025-07-06,2025-06-29 to 2025-07-06,144,Australia,AU,WPRO,0,0,11861161,25236,2025,27,0
2025-07-13,2025-07-20,2025-07-13 to 2025-07-20,145,Australia,AU,WPRO,0,0,11861161,25236,2025,29,0
2025-07-27,2025-08-03,2025-07-27 to 2025-08-03,146,Australia,AU,WPRO,0,0,11861161,25236,2025,31,0
2025-08-10,2025-08-17,2025-08-10 to 2025-08-17,147,Australia,AU,WPRO,0,0,11861161,25236,2025,33,0
2025-08-24,2025-08-31,2025-08-24 to 2025-08-31,148,Australia,AU,WPRO,0,0,11861161,25236,2025,35,0
2025-09-07,2025-09-14,2025-09-07 to 2025-09-14,149,Australia,AU,WPRO,0,0,11861161,25236,2025,37,0
2025-09-21,2025-09-28,2025-09-21 to 2025-09-28,150,Australia,AU,WPRO,0,0,11861161,25236,2025,39,0
2025-10-05,2025-10-12,2025-10-05 to 2025-10-12,151,Australia,AU,WPRO,0,0,11861161,25236,2025,41,0
2025-10-19,2025-10-26,2025-10-19 to 2025-10-26,152,Australia,AU,WPRO,0,0,11861161,25236,2025,43,0
2025-11-02,2025-11-09,2025-11-02 to 2025-11-09,153,Australia,AU,WPRO,0,0,11861161,25236,2025,45,0
2025-11-16,2025-11-23,2025-11-16 to 2025-11-23,154,Australia,AU,WPRO,0,0,11861161,25236,2025,47,0
2025-11-30,2025-12-07,2025-11-30 to 2025-12-07,155,Australia,AU,WPRO,0,0,11861161,25236,2025,49,0
2025-12-14,2025-12-21,2025-12-14 to 2025-12-21,156,Australia,AU,WPRO,0,0,11861161,25236,2025,51,0
2025-12-28,2026-01-04,2025-12-28 to 2026-01-04,157,Australia,AU,WPRO,0,0,11861161,25236,2026,1,0
2026-01-11,2026-01-18,2026-01-11 to 2026-01-18,158,Australia,AU,WPRO,0,0,11861161,25236,2026,3,0
